Dimension, Value, Description
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PER_POP_36T59M","% of children aged 36-59 months"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","CON_USD","Constant USD"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
"Units","Ratio","Ratio"
"Units","PERCENT","Percentage"
